100,100,110,117,100,100,100,100,101,108,100,100,100,
101,108,100,100,100,102,109,100,100,100,100,110,117,
100,100,100,110,117,100,100,100,111,101,100,100,100,
111,101,100,100,100,100,102,109,100,100,100,103,110,
100,100,100,103,110,100,100,100,100,111,101,100,100,
100,111,101,100,100,100,112,102,100,100,100,100,103,
100,100,100,100,103,110,100,100,100,104,111,100,100,
100,104,111,100,100,100,100,112,102,100,100,100,113,
102,100,100,100,113,103,100,100,100,100,104,111,100,
100,100,104,111,100,100,100,105,112,100,100,100,100,
112,100,100,100,100,113,103,100,100,100,114,104,100,
100,100,114,104,100,100,100,100,105,112,100,100,100,
105,112,100,100,100,106,113,100,100,100,100,114,104,
