0,0,0,1,8,0,0,0,0,9,16,0,0,0,10,17,
0,9,16,0,0,0,10,17,0,0,0,0,1,8,0,0,
0,0,0,0,1,8,0,0,0,2,9,0,0,0,0,10,
0,2,9,0,0,0,0,10,17,0,0,0,11,1,0,0,
17,0,0,0,11,1,0,0,0,0,2,9,0,0,0,3,
0,0,2,9,0,0,0,3,10,0,0,0,0,11,1,0,
10,0,0,0,0,11,1,0,0,0,12,2,0,0,0,0,
0,0,12,2,0,0,0,0,3,10,0,0,0,4,11,0,
3,10,0,0,0,4,11,0,0,0,0,12,2,0,0,0,
0,0,0,12,2,0,0,0,13,3,0,0,0,0,4,11,
13,3,0,0,0,0,4,11,0,0,0,5,12,0,0,0,
0,0,0,5,12,0,0,0,0,13,3,0,0,0,14,4,
0,13,3,0,0,0,14,4,0,0,0,0,5,12,0,0,
0,0,0,0,5,12,0,0,0,6,13,0,0,0,0,14,
